"","Q3_B","Q4_B","Q5_B","Q6_B","Q7_B","Q8_C","Q9_C","Q10_D","Q11_D","Q12_D","Q13_D","Q14_D","Q15_D","Q16_D","Q17_E","Q18_E","Q19_E","Q20_E","Q21_E","Q22_E"
"1",2,1,0,1,0,1,0,0,0,1,1,0,2,2,3,2,2,0,2,3
"2",0,1,1,1,1,2,1,1,0,1,0,0,0,0,2,0,1,0,1,0
"3",0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2
"4",2,2,0,2,1,0,0,1,2,3,3,3,3,3,3,3,3,3,3,1
"5",2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"6",0,0,2,0,0,0,0,2,0,0,0,2,2,1,1,1,2,0,2,1
"7",1,0,0,1,0,2,0,3,1,0,2,3,2,2,2,0,3,0,3,0
"8",0,0,0,0,1,0,0,0,0,0,2,2,2,0,1,0,0,0,2,0
"9",0,0,0,3,3,3,0,0,0,3,3,3,3,3,3,3,3,0,0,0
"10",3,3,3,3,0,2,1,0,3,2,2,2,0,0,1,0,1,0,3,3
"11",2,0,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,1,2,0
"12",1,0,2,0,3,2,1,0,3,2,2,3,3,1,1,0,2,0,3,3
"13",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"14",0,0,2,0,2,2,1,0,0,2,3,0,2,2,2,0,2,0,3,3
"15",0,2,0,0,0,1,2,1,0,0,2,0,2,2,2,1,2,2,2,1
"16",0,2,0,3,3,0,0,0,0,1,1,3,2,3,2,1,2,2,3,3
"17",2,0,2,1,2,0,2,0,2,2,2,3,2,3,2,2,2,0,2,2
"18",1,0,1,1,2,3,2,0,0,2,0,3,2,3,3,2,2,2,3,0
"19",1,1,0,0,1,0,0,0,1,0,1,2,2,0,0,0,0,1,1,2
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,1,0,1,1,0,2,0,0,1,0,1,0,0,0,1,1,1,0
"22",0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,2,0,0
"23",0,0,0,2,0,2,2,0,0,2,0,1,0,2,0,0,1,0,1,2
"24",1,0,1,0,1,3,3,2,0,0,0,0,0,1,3,0,2,0,0,0
"25",1,2,1,2,1,0,1,0,3,2,2,3,2,1,1,1,2,1,3,3
"26",0,1,0,1,1,0,0,0,0,0,1,0,0,0,3,1,2,2,1,0
"27",3,2,2,3,3,3,3,0,3,3,2,3,3,3,3,1,3,2,2,3
"28",0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2
"29",0,0,3,0,2,0,0,0,2,1,2,2,0,0,2,1,1,0,2,3
"30",0,0,1,0,0,0,0,0,0,0,2,2,1,1,1,1,1,0,1,1
"31",2,0,2,2,3,3,0,0,0,2,1,0,3,3,3,0,3,0,3,2
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"33",0,0,0,0,0,1,1,0,0,0,1,1,2,1,1,1,1,0,2,2
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"35",0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0
"36",1,0,0,2,3,3,3,0,0,3,2,1,2,0,1,1,2,0,0,0
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"38",0,0,0,0,1,1,1,0,0,0,3,2,1,2,2,0,1,1,2,2
"39",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",1,0,2,2,2,3,0,0,0,2,0,0,1,2,3,0,2,2,1,0
"41",0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,1,0,2,1
"42",0,0,0,1,1,0,0,0,0,1,0,2,0,2,2,0,1,0,2,2
"43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",0,2,2,2,2,1,3,0,1,2,2,1,0,1,0,0,0,0,1,2
"45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
"46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",3,3,3,3,3,3,3,0,3,3,0,3,3,3,3,3,3,3,3,3
"48",0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,1,1,0,2,0
"49",0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,0,2,0
"50",0,1,1,2,1,0,0,0,2,1,2,2,2,1,2,0,2,2,3,2
"51",0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1
"52",2,0,0,1,0,2,3,1,0,0,1,2,2,0,3,0,1,0,0,0
"53",1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0
"54",0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,3,0
"55",3,3,3,0,0,0,0,0,0,1,1,3,3,3,2,0,3,0,3,3
"56",1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0
"57",0,0,2,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,1,0
"58",2,1,1,3,3,3,3,0,0,3,3,3,3,3,2,2,2,2,2,3
"59",2,1,2,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"60",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
"61",3,1,2,3,2,2,1,0,1,2,1,1,2,1,3,1,3,0,0,3
"62",2,0,1,1,0,2,1,0,0,2,2,2,0,0,1,0,1,0,1,1
"63",1,0,2,0,0,0,0,3,1,1,1,0,0,1,0,0,2,0,0,0
"64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"65",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1
"66",1,0,1,1,2,2,2,0,1,2,2,0,2,0,2,2,2,2,2,2
"67",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
"68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",2,1,2,1,2,2,0,0,0,2,0,0,2,2,2,2,3,3,2,3
"72",3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,1,3,2,2,2
"73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",0,3,0,1,1,0,0,0,1,0,3,2,3,0,3,0,3,1,3,3
"75",2,2,2,2,2,2,2,0,0,2,1,2,3,2,3,2,3,2,3,2
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0
"77",2,0,3,3,3,3,0,0,0,3,3,3,3,3,3,2,3,2,3,2
"78",2,1,1,0,1,1,1,1,2,2,2,0,3,2,2,1,1,1,0,2
"79",0,0,0,1,1,0,0,0,1,1,0,2,2,3,3,3,3,3,3,3
"80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,0
"81",2,0,1,2,2,3,3,0,2,2,0,2,0,1,2,0,0,0,0,2
"82",0,0,0,1,1,3,3,0,0,0,0,0,1,1,0,0,2,0,2,3
"83",3,0,2,3,3,3,0,2,0,2,0,0,3,0,1,0,3,3,3,3
"84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",3,2,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,2,0
"86",2,0,0,2,2,3,3,0,0,2,2,2,2,2,2,0,2,0,3,0
"87",1,0,1,1,1,2,2,0,0,1,1,0,2,2,2,1,2,0,2,0
"88",0,0,3,2,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2
"89",0,0,0,1,2,1,1,0,0,0,1,0,2,1,1,1,1,0,0,0
"90",1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0
"91",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",2,1,2,3,2,1,2,0,2,2,2,1,1,1,2,1,1,0,1,0
"94",0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,2,2
"95",1,1,1,2,1,1,2,0,0,0,1,1,2,1,2,3,2,3,2,2
"96",0,0,0,1,1,1,1,1,0,0,3,3,3,3,3,3,3,0,3,2
"97",2,2,2,2,2,2,2,0,0,1,2,1,2,0,2,0,1,1,1,0
"98",1,0,0,2,0,0,2,0,0,0,1,0,1,1,2,0,1,1,1,1
"99",1,2,1,2,2,3,1,2,0,1,1,3,3,3,3,3,3,2,3,2
"100",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",0,0,0,0,0,1,2,0,0,1,2,3,3,3,3,1,2,0,3,2
"104",0,0,2,2,3,3,3,0,0,3,3,3,3,3,2,0,2,2,3,3
"105",0,2,2,0,0,0,0,1,0,2,2,2,2,2,2,1,2,2,2,2
"106",2,2,1,3,3,2,2,0,3,3,0,0,0,0,0,0,0,0,0,1
"107",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"108",2,0,2,2,2,2,1,0,0,1,1,0,0,0,3,0,0,0,1,0
"109",2,0,3,0,2,0,3,0,0,0,0,3,3,3,3,0,3,3,3,3
"110",0,0,0,0,0,1,0,1,0,0,0,0,2,1,2,2,2,0,0,2
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",3,3,3,3,2,3,3,2,2,3,3,3,3,3,2,2,2,2,3,3
"113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"114",0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,2
"115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",1,0,0,1,1,2,1,0,0,0,2,0,1,1,0,0,2,2,2,1
"118",3,3,3,3,3,3,3,0,0,3,3,2,0,0,2,0,3,0,0,0
"119",1,0,2,1,2,1,0,0,0,1,1,1,1,1,1,0,2,1,1,0
"120",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,2
"121",2,2,2,2,2,3,2,0,0,0,0,0,0,0,0,0,1,1,0,2
"122",1,1,1,0,2,0,0,0,0,0,2,2,1,0,2,1,3,2,1,2
"123",0,0,0,0,0,0,0,0,0,0,2,2,2,1,3,2,2,1,2,1
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,2,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"126",3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,2,3,2,3
"127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0
"128",1,1,2,1,2,1,3,2,0,0,0,0,0,1,3,0,2,2,2,2
"129",3,3,3,3,3,3,3,0,3,3,3,3,3,2,3,2,3,2,2,3
"130",1,0,0,2,2,0,0,0,0,1,0,2,1,2,2,1,3,0,2,2
"131",1,0,1,2,2,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1
"132",3,2,3,2,2,2,3,0,1,2,2,0,2,0,3,0,0,2,2,1
"133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,2,2,0,3
"135",0,0,1,2,3,3,2,2,0,2,2,0,2,2,0,0,1,0,1,0
"136",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0
"137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,2,0,1,1
"139",0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,3,1,3,0
"140",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"142",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",1,0,2,2,2,2,3,3,2,3,2,3,3,3,2,1,2,2,2,0
"144",0,0,0,0,0,0,0,1,0,0,1,2,2,2,2,0,2,0,2,2
"145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"146",0,0,0,0,1,0,0,0,0,1,3,3,2,2,3,3,2,0,0,0
"147",0,1,1,1,0,0,0,0,0,0,1,0,1,0,2,1,2,2,0,2
"148",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149",1,2,2,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2
"150",0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,2,0,1,2
"151",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0
"152",2,1,2,3,3,3,3,0,0,2,1,1,2,0,2,2,1,2,0,2
"153",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
"157",3,0,3,3,3,3,3,0,3,3,2,0,0,3,2,0,2,0,2,0
"158",0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,1,0
"159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160",0,0,3,2,0,0,3,0,0,2,2,0,0,0,2,0,0,0,1,0
"161",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0
"162",1,0,2,2,1,3,0,1,3,3,2,0,0,2,1,1,2,2,3,2
"163",0,0,0,1,1,1,2,1,1,1,2,2,2,2,3,2,2,0,2,2
"164",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166",2,1,1,2,2,0,0,0,1,0,1,1,1,1,1,2,2,0,1,1
"167",3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,3,3,3,3
"168",3,0,3,2,2,3,3,2,3,3,2,3,3,0,3,0,3,0,3,3
"169",2,0,1,2,0,1,3,0,2,3,0,0,2,3,2,0,2,0,0,0
"170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2
"172",0,0,0,1,1,1,1,0,1,1,0,0,0,0,2,0,0,0,0,1
"173",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175",2,2,2,2,2,1,2,0,0,0,2,3,3,3,0,0,0,0,2,2
"176",0,1,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2
"177",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179",0,0,0,0,0,3,3,3,2,2,2,0,3,3,0,0,1,1,1,3
"180",1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"181",0,0,0,0,0,0,0,1,0,2,0,0,1,2,2,0,1,1,2,1
"182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,3
"183",1,0,0,1,0,0,0,0,0,1,0,2,2,2,1,1,1,1,1,1
"184",1,1,0,2,2,2,2,0,0,0,0,2,2,2,1,0,1,0,2,2
"185",3,2,0,0,3,2,0,0,2,0,1,3,3,3,1,0,0,0,1,0
"186",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"187",3,1,3,3,3,3,3,0,0,3,3,2,3,3,3,3,3,3,3,0
"188",0,0,1,1,2,0,0,1,2,2,2,0,1,0,2,1,1,1,1,2
"189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"191",2,2,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"192",0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,1,2,0,0,2
"193",3,2,3,3,2,2,3,0,1,1,2,2,2,2,1,1,0,1,1,0
"194",0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,2,0
"195",0,2,0,0,0,0,0,0,3,0,3,0,0,3,3,2,3,0,3,3
"196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198",0,0,1,1,1,0,0,2,1,2,1,0,0,0,0,0,1,0,0,0
"199",0,0,0,1,1,0,1,0,0,1,0,2,0,0,3,0,1,0,0,0
"200",1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"201",0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,0,2,0,3,2
"202",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0
"203",1,0,1,2,2,3,3,0,1,1,0,0,0,0,0,0,1,0,1,1
"204",0,0,1,2,3,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0
"205",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"206",3,2,3,3,3,3,0,0,3,3,3,3,3,3,0,2,2,2,2,0
"207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"208",0,1,2,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"209",0,0,0,0,1,1,0,1,1,2,1,2,2,1,3,0,2,0,1,2
"210",3,3,1,2,3,3,3,0,2,2,2,2,1,2,3,2,2,2,3,2
"211",2,1,1,2,3,0,3,0,2,2,2,3,3,3,3,0,2,0,2,3
"212",0,0,0,0,0,0,0,3,0,3,0,3,3,3,2,0,2,0,3,3
"213",1,0,1,2,2,3,2,0,2,3,2,2,2,2,3,3,3,2,3,2
"214",0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"215",0,0,0,0,0,0,0,1,1,0,0,2,2,1,3,1,2,0,0,1
"216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1
"218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"219",1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1
"220",3,0,1,1,3,3,2,0,0,3,1,2,2,1,3,2,3,2,1,2
"221",0,0,0,1,2,0,1,1,1,2,3,3,3,3,2,0,3,3,3,1
"222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"223",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224",0,0,0,3,2,2,1,0,3,3,3,3,3,3,2,1,0,0,3,1
"225",0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"226",1,0,1,1,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,1
"227",1,0,0,1,1,0,0,0,0,0,0,0,2,0,2,0,1,0,2,0
"228",1,0,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
"229",0,0,0,1,1,1,1,0,0,1,2,2,2,1,2,0,2,0,1,1
"230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"231",1,0,1,1,2,2,2,1,0,1,0,0,2,2,1,0,1,1,1,1
"232",2,2,2,3,1,2,3,0,0,1,1,2,1,0,1,0,1,0,0,2
"233",0,1,1,1,1,0,1,0,2,1,2,0,1,0,2,1,2,2,2,2
"234",0,0,1,1,1,0,1,2,0,1,2,2,2,2,1,1,1,3,1,2
"235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0
"236",0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
"237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"238",0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"239",3,0,3,3,3,3,3,0,2,3,3,3,3,2,3,3,3,0,2,1
"240",0,0,0,0,0,0,0,0,0,0,3,0,0,2,3,0,3,0,3,3
"241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"242",1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"243",1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,3,3,3,3
"244",0,0,1,2,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1
"245",1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"246",1,1,1,1,2,3,0,0,0,1,0,2,3,2,0,0,0,0,0,0
"247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"248",0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,2,0,1,2
"249",0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"251",0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"254",1,0,1,1,2,3,3,0,1,2,3,3,3,3,3,2,2,0,3,3
"255",0,0,1,2,0,0,1,0,0,2,0,0,1,1,2,1,1,1,1,0
"256",0,0,0,0,1,0,0,0,2,2,0,0,0,1,1,1,0,0,2,0
"257",1,1,1,1,1,0,2,1,0,1,0,2,1,0,2,1,2,2,3,1
"258",2,1,2,2,0,2,0,0,1,0,0,1,3,2,0,0,0,0,0,0
"259",1,1,1,1,1,1,2,1,1,1,1,1,0,0,2,2,2,1,1,0
"260",0,0,0,1,1,1,0,1,2,2,3,3,3,3,2,2,3,3,3,2
"261",1,0,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2
"262",0,0,1,1,1,1,2,1,2,2,2,1,1,0,2,1,2,1,2,1
"263",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1
"264",3,0,3,3,3,3,3,0,3,3,2,3,3,2,3,0,3,1,2,2
"265",1,1,2,2,2,0,0,0,2,1,2,1,2,0,2,3,1,1,2,2
"266",2,0,1,2,2,2,0,0,0,3,0,0,2,3,3,3,3,0,0,0
"267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"268",2,0,2,2,2,3,3,1,3,2,3,3,3,3,3,2,2,2,1,2
"269",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"270",2,1,2,3,3,3,3,0,0,1,1,1,1,1,2,2,2,2,2,1
"271",3,3,3,2,3,2,3,0,3,0,3,3,3,3,3,3,3,3,3,3
"272",3,2,3,3,3,3,3,2,2,3,2,1,1,3,3,3,3,1,3,2
"273",1,2,2,3,3,3,3,1,1,2,1,2,2,2,2,2,2,2,2,2
"274",0,0,0,2,2,0,0,0,0,0,0,1,1,1,1,1,2,0,2,2
"275",2,2,2,2,2,0,1,0,0,1,2,2,2,2,2,1,2,2,2,2
"276",1,1,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2
"277",0,0,0,0,0,0,0,1,2,2,2,3,2,0,3,2,2,1,1,3
"278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"279",0,1,0,0,1,0,1,0,0,1,1,2,1,1,0,0,1,2,2,0
"280",2,2,0,3,3,2,2,0,0,3,3,3,2,3,0,0,3,0,3,3
"281",1,0,2,2,1,2,1,0,1,1,1,2,1,2,2,0,1,1,1,1
"282",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"283",1,0,1,1,1,2,1,0,0,1,1,2,2,1,1,0,1,0,0,0
"284",0,0,1,2,2,3,1,0,0,2,2,3,3,3,3,3,3,3,3,3
"285",0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,1,2
"286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0
"287",1,1,1,2,2,3,3,0,2,2,0,2,0,1,2,0,1,0,2,2
"288",1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"289",1,0,1,0,0,0,0,2,2,2,2,0,0,0,1,1,1,1,2,0
"290",2,1,2,1,2,2,2,0,0,3,2,2,1,2,0,0,2,2,2,2
"291",0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0
"292",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"293",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"295",0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
"296",0,0,0,2,2,2,1,1,0,2,3,2,1,2,2,0,1,0,0,0
"297",0,0,1,2,1,0,0,1,0,1,0,0,0,0,2,0,2,0,1,1
"298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"299",2,0,1,1,3,3,3,0,0,3,0,1,3,3,3,0,2,2,0,0
"300",0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,2,0,2,0
"301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
